Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition;GPS Longitude;GPS Latitude;GPS Satelliten;GPS Speed;Wind Richtung;Wind Speed
2013-04-15 11:05:57:0434;1366016757434;;;;;68;;;;;;
2013-04-15 11:05:57:0634;1366016757634;215.2;;;;;;;;;;
2013-04-15 11:05:57:0635;1366016757635;;;;68.0;;;;;;;
2013-04-15 11:05:57:0785;1366016757785;;;;;68;;;;;;
2013-04-15 11:05:57:0872;1366016757872;215.8;;;;;;;;;;
2013-04-15 11:05:57:0985;1366016757985;;;;68.0;;;;;;;
2013-04-15 11:05:58:0109;1366016758109;216.25;;;;;;;;;;
2013-04-15 11:05:58:0141;1366016758141;;;;;68;;;;;;
2013-04-15 11:05:58:0343;1366016758343;;;;68.0;;;;;;;
2013-04-15 11:05:58:0348;1366016758348;217.05;;;;;;;;;;
2013-04-15 11:05:58:0503;1366016758503;;;;;68;;;;;;
2013-04-15 11:05:58:0585;1366016758585;218.85;;;;;;;;;;
2013-04-15 11:05:58:0703;1366016758703;;;;68.0;;;;;;;
2013-04-15 11:05:58:0828;1366016758828;219.5;;;;;;;;;;
2013-04-15 11:05:58:0858;1366016758858;;;;;68;;;;;;
2013-04-15 11:05:59:0059;1366016759059;;;;68.0;;;;;;;
2013-04-15 11:05:59:0064;1366016759064;218.8;;;;;;;;;;
2013-04-15 11:05:59:0210;1366016759210;;;;;68;;;;;;
2013-04-15 11:05:59:0303;1366016759303;219.85;;;;;;;;;;
2013-04-15 11:05:59:0411;1366016759411;;;;68.0;;;;;;;
2013-04-15 11:05:59:0541;1366016759541;220.35;;;;;;;;;;
2013-04-15 11:05:59:0565;1366016759565;;;;;68;;;;;;
2013-04-15 11:05:59:0765;1366016759765;;;;68.0;;;;;;;
2013-04-15 11:05:59:0779;1366016759779;218.3;;;;;;;;;;
2013-04-15 11:05:59:0950;1366016759950;;;;;68;;;;;;
2013-04-15 11:06:00:0016;1366016760016;214.2;;;;;;;;;;
2013-04-15 11:06:00:0150;1366016760150;;;;68.0;;;;;;;
2013-04-15 11:06:00:0254;1366016760254;210.05;;;;;;;;;;
2013-04-15 11:06:00:0337;1366016760337;;;;;68;;;;;;
2013-04-15 11:06:00:0499;1366016760499;206.0;;;;;;;;;;
2013-04-15 11:06:00:0538;1366016760538;;;;68.0;;;;;;;
2013-04-15 11:06:00:0687;1366016760687;;;;;68;;;;;;
2013-04-15 11:06:00:0729;1366016760729;201.65;;;;;;;;;;
2013-04-15 11:06:00:0887;1366016760887;;;;68.0;;;;;;;
2013-04-15 11:06:00:0972;1366016760972;197.75;;;;;;;;;;
2013-04-15 11:06:01:0039;1366016761039;;;;;68;;;;;;
2013-04-15 11:06:01:0209;1366016761209;192.55;;;;;;;;;;
2013-04-15 11:06:01:0240;1366016761240;;;;68.0;;;;;;;
2013-04-15 11:06:01:0390;1366016761390;;;;;68;;;;;;
2013-04-15 11:06:01:0450;1366016761450;186.65;;;;;;;;;;
2013-04-15 11:06:01:0592;1366016761592;;;;68.0;;;;;;;
2013-04-15 11:06:01:0700;1366016761700;180.05;;;;;;;;;;
2013-04-15 11:06:01:0746;1366016761746;;;;;68;;;;;;
2013-04-15 11:06:01:0926;1366016761926;174.0;;;;;;;;;;
2013-04-15 11:06:01:0946;1366016761946;;;;68.0;;;;;;;
2013-04-15 11:06:02:0091;1366016762091;;;;;68;;;;;;
2013-04-15 11:06:02:0161;1366016762161;168.6;;;;;;;;;;
2013-04-15 11:06:02:0292;1366016762292;;;;68.0;;;;;;;
2013-04-15 11:06:02:0408;1366016762408;163.8;;;;;;;;;;
2013-04-15 11:06:02:0444;1366016762444;;;;;68;;;;;;
