Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition
2013-03-27 14:29:48:0045;1364390988045;270.8;;;;
2013-03-27 14:29:48:0284;1364390988284;270.9;;;;
2013-03-27 14:29:48:0520;1364390988520;271.0;;;;
2013-03-27 14:29:48:0764;1364390988764;271.0;;;;
2013-03-27 14:29:49:0001;1364390989001;270.8;;;;
2013-03-27 14:29:49:0237;1364390989237;270.8;;;;
2013-03-27 14:29:49:0475;1364390989475;270.8;;;;
2013-03-27 14:29:49:0714;1364390989714;270.8;;;;
2013-03-27 14:29:49:0951;1364390989951;270.8;;;;
2013-03-27 14:29:50:0188;1364390990188;270.8;;;;
2013-03-27 14:29:50:0427;1364390990427;270.7;;;;
2013-03-27 14:29:50:0665;1364390990665;270.7;;;;
2013-03-27 14:29:50:0907;1364390990907;270.7;;;;
2013-03-27 14:29:51:0144;1364390991144;270.7;;;;
2013-03-27 14:29:51:0382;1364390991382;270.7;;;;
2013-03-27 14:29:51:0626;1364390991626;270.7;;;;
2013-03-27 14:29:51:0858;1364390991858;270.7;;;;
2013-03-27 14:29:52:0095;1364390992095;270.7;;;;
2013-03-27 14:29:52:0332;1364390992332;270.7;;;;
2013-03-27 14:29:52:0570;1364390992570;270.6;;;;
2013-03-27 14:29:52:0808;1364390992808;270.6;;;;
2013-03-27 14:29:53:0051;1364390993051;270.6;;;;
2013-03-27 14:29:53:0288;1364390993288;270.8;;;;
2013-03-27 14:29:53:0525;1364390993525;270.9;;;;
2013-03-27 14:29:53:0763;1364390993763;270.85;;;;
2013-03-27 14:29:54:0001;1364390994001;270.7;;;;
2013-03-27 14:29:54:0239;1364390994239;270.7;;;;
2013-03-27 14:29:54:0477;1364390994477;270.7;;;;
2013-03-27 14:29:54:0715;1364390994715;270.7;;;;
2013-03-27 14:29:54:0951;1364390994951;270.8;;;;
2013-03-27 14:29:55:0195;1364390995195;270.8;;;;
2013-03-27 14:29:55:0431;1364390995431;270.8;;;;
2013-03-27 14:29:55:0669;1364390995669;270.8;;;;
2013-03-27 14:29:55:0907;1364390995907;270.8;;;;
2013-03-27 14:29:56:0144;1364390996144;270.7;;;;
2013-03-27 14:29:56:0383;1364390996383;270.8;;;;
2013-03-27 14:29:56:0625;1364390996625;270.8;;;;
2013-03-27 14:29:56:0858;1364390996858;270.8;;;;
2013-03-27 14:29:57:0096;1364390997096;270.9;;;;
2013-03-27 14:29:57:0337;1364390997337;270.9;;;;
2013-03-27 14:29:57:0574;1364390997574;270.9;;;;
2013-03-27 14:29:57:0813;1364390997813;270.8;;;;
2013-03-27 14:29:58:0051;1364390998051;270.9;;;;
2013-03-27 14:29:58:0287;1364390998287;271.0;;;;
2013-03-27 14:29:58:0525;1364390998525;271.0;;;;
2013-03-27 14:29:58:0764;1364390998764;271.0;;;;
2013-03-27 14:29:59:0002;1364390999002;270.9;;;;
2013-03-27 14:29:59:0240;1364390999240;270.9;;;;
2013-03-27 14:29:59:0482;1364390999482;270.9;;;;
2013-03-27 14:29:59:0720;1364390999720;270.9;;;;
2013-03-27 14:29:59:0958;1364390999958;270.9;;;;
2013-03-27 14:30:00:0195;1364391000195;270.9;;;;
2013-03-27 14:30:00:0433;1364391000433;270.8;;;;
2013-03-27 14:30:00:0671;1364391000671;270.9;;;;
2013-03-27 14:30:00:0909;1364391000909;270.7;;;;
2013-03-27 14:30:01:0147;1364391001147;270.8;;;;
2013-03-27 14:30:01:0389;1364391001389;270.8;;;;
2013-03-27 14:30:01:0627;1364391001627;270.8;;;;
2013-03-27 14:30:01:0863;1364391001863;270.8;;;;
